都市名,所有者,X座標,Y座標,兵数,金,兵糧,農業,商業,兵舎,治安,勢力色
許昌,曹操,450,450,8000,3000,5000,80,90,70,85,#4169E1
陳留,曹操,420,480,5000,2000,3000,70,75,60,80,#4169E1
洛陽,曹操,380,420,6000,2500,4000,75,80,65,75,#4169E1
鄴,袁紹,480,280,10000,4000,6000,90,95,80,90,#DC143C
冀州,袁紹,520,250,7000,3000,5000,85,80,75,85,#DC143C
青州,袁紹,620,320,5000,2000,3500,70,70,60,75,#DC143C
徐州,劉備,580,520,4000,1500,3000,65,60,55,70,#32CD32
下邳,劉備,650,480,3000,1200,2500,60,55,50,65,#32CD32
小沛,劉備,600,500,2500,1000,2000,55,50,45,60,#32CD32
汝南,劉表,350,580,5000,2000,4000,70,65,60,75,#9370DB
襄陽,劉表,320,620,6000,2500,4500,75,70,65,80,#9370DB
江夏,劉表,380,680,4000,1500,3000,65,60,55,70,#9370DB
寿春,袁術,480,580,4000,1800,3000,60,70,55,65,#FFD700
濮陽,張楊,520,380,3000,1200,2500,55,60,50,60,#FF8C00
