武将名,所属勢力,配置都市,統率,武力,知力,政治
曹操,曹操,許昌,95,85,98,96
夏侯惇,曹操,許昌,88,92,65,58
夏侯淵,曹操,許昌,90,91,62,55
曹仁,曹操,許昌,89,88,68,72
曹洪,曹操,陳留,85,87,55,60
張遼,曹操,陳留,94,93,75,70
徐晃,曹操,陳留,92,90,70,65
楽進,曹操,洛陽,88,89,62,58
于禁,曹操,洛陽,90,86,72,68
李典,曹操,洛陽,85,84,75,70
袁紹,袁紹,鄴,82,75,65,78
顔良,袁紹,鄴,88,95,45,40
文醜,袁紹,鄴,87,94,42,38
張郃,袁紹,冀州,91,89,78,72
高覧,袁紹,冀州,86,88,60,55
審配,袁紹,冀州,83,72,85,88
逢紀,袁紹,青州,80,70,82,75
沮授,袁紹,青州,90,68,95,90
田豊,袁紹,青州,88,65,96,85
劉備,劉備,徐州,85,80,75,82
関羽,劉備,徐州,95,97,75,68
張飛,劉備,下邳,88,96,45,35
趙雲,劉備,下邳,93,95,75,65
簡雍,劉備,小沛,75,68,80,85
劉表,劉表,襄陽,78,70,72,80
黄祖,劉表,汝南,80,82,55,58
蔡瑁,劉表,汝南,76,74,68,72
張允,劉表,江夏,75,76,60,65
袁術,袁術,寿春,65,72,55,60
張楊,張楊,濮陽,70,78,50,55
